club_id,club_name
985,Manchester United
31,Liverpool FC
631,Chelsea FC
11,Arsenal FC
29,Everton FC
405,Aston Villa
931,Fulham FC
148,Tottenham Hotspur
379,West Ham United
281,Manchester City
1071,Wigan Athletic
512,Stoke City
355,Bolton Wanderers
1020,Portsmouth FC
164,Blackburn Rovers
289,Sunderland AFC
3008,Hull City
543,Wolverhampton Wanderers
337,Birmingham City
1132,Burnley FC
1181,Blackpool FC
984,West Bromwich Albion
762,Newcastle United
2288,Swansea City
1123,Norwich City
1039,Queens Park Rangers
180,Southampton FC
1032,Reading FC
603,Cardiff City
873,Crystal Palace
1003,Leicester City
989,AFC Bournemouth
1010,Watford FC
641,Middlesbrough FC
1237,Brighton & Hove Albion
1110,Huddersfield Town
350,Sheffield United
399,Leeds United
1148,Brentford FC
630,Racing Santander
3709,Getafe CF
3302,UD Almería
2448,Sporting Gijón
1084,Málaga CF
1050,Villarreal CF
1049,Valencia CF
897,Deportivo de La Coruña
714,RCD Espanyol Barcelona
648,CD Tenerife
13,Atlético de Madrid
621,Athletic Bilbao
418,Real Madrid
368,Sevilla FC
366,Real Valladolid CF
331,CA Osasuna
237,RCD Mallorca
142,Real Zaragoza
134,Xerez CD
131,FC Barcelona
7971,Hércules CF
3368,Levante UD
681,Real Sociedad
16795,Granada CF
367,Rayo Vallecano
150,Real Betis Balompié
940,Celta de Vigo
1531,Elche CF
1533,SD Eibar
993,Córdoba CF
472,UD Las Palmas
1108,Deportivo Alavés
1244,CD Leganés
12321,Girona FC
5358,SD Huesca
2687,Cádiz CF
46,FC Internazionale
12,AS Roma
5,AC Milan
1038,UC Sampdoria
458,US Palermo
6195,SSC Napoli
506,Juventus FC
130,Parma FC
252,Genoa CFC
332,AS Bari
430,ACF Fiorentina
800,Atalanta BC
398,SS Lazio
1387,Robur Siena
1627,Calcio Catania
862,Chievo Verona
410,Udinese Calcio
1390,Cagliari Calcio
1025,Bologna FC 1909
1210,AS Livorno
1429,AC Cesena
1005,US Lecce
19,Brescia Calcio
6692,Novara Calcio 1908
2921,Delfino Pescara 1936
416,Torino FC
6574,US Sassuolo
276,Hellas Verona
749,Empoli FC
4102,Carpi FC 1909
8970,Frosinone Calcio
4083,FC Crotone
4171,Benevento Calcio
2722,SPAL 2013
3522,Spezia Calcio
380,US Salernitana 1919
607,Venezia FC
