"club_id","season","Y_margin_sum","n_sales_Y","spend_sum","n_buys","n_sales_tot","n_costzero","costzero_share","betweenness","out_degree","in_degree"
2,2010,0,0,4100000,7,1,1,1,28.7440476190476,0,2
2,2011,0,0,6200000,6,3,1,0.333333333333333,15.8690299466615,1,1
3,2009,0,0,1.1e+07,2,1,1,1,22.747619047619,1,1
3,2010,0,0,4350000,7,0,0,0,0,0,2
3,2011,0,0,5280000,4,1,1,1,116.245634920635,0,2
3,2014,-2900000,1,8e+06,5,1,1,1,26.4730086580087,0,2
3,2015,8750000,5,14780000,6,7,6,0.857142857142857,110.036381732751,2,4
3,2016,5200000,4,7850000,3,4,1,0.25,103.182274928822,3,3
3,2017,-4e+05,2,4e+07,6,2,0,0,34.879080175154,0,4
3,2019,-6950000,3,20250000,4,3,1,0.333333333333333,31.7204734878648,1,2
3,2020,-2e+06,1,16800000,3,1,0,0,112,1,2
3,2021,-1500000,3,0,0,3,0,0,14.9615800865801,2,0
4,2009,0,0,0,0,2,2,1,0,1,0
4,2010,2050000,2,650000,2,3,3,1,26.8044733044733,1,1
4,2011,-34500000,1,3850000,6,1,1,1,0,1,1
4,2012,0,0,2500000,3,1,0,0,6.25,1,1
4,2013,5450000,2,7320000,5,3,0,0,225.47619047619,2,2
4,2018,0,0,3500000,2,0,0,0,0,0,0
5,2009,-190000,1,22100000,5,3,2,0.666666666666667,101.145222711012,2,2
5,2010,-3819000,6,42300000,8,9,5,0.555555555555556,368.46997658774,4,6
5,2011,-17900000,3,63650000,9,4,2,0.5,194.942444212994,3,4
5,2012,63500000,5,58970000,9,6,2,0.333333333333333,95.7057817182817,3,5
5,2013,14050000,3,41730000,8,4,1,0.25,317.828865195057,4,5
5,2014,3200000,2,14900000,6,3,0,0,199.178345741806,2,6
5,2015,-9750000,4,102270000,8,4,1,0.25,82.7678605381547,3,4
5,2016,8400000,4,26560000,3,5,1,0.2,48.8198628985394,4,1
5,2017,-8270000,8,180980000,8,8,2,0.25,363.890045085086,4,7
5,2018,58675000,7,178570000,7,7,0,0,96.4338338948633,5,4
5,2019,-1300000,4,111400000,6,4,0,0,126.529730335584,3,3
5,2020,-53050000,5,22620000,6,5,0,0,305.420607769423,4,3
5,2021,0,1,6.4e+07,6,1,0,0,271.655094905095,0,4
10,2020,-4e+05,1,0,0,1,1,1,0,0,0
