club_id,season,Y_margin_sum,n_sales_Y,spend_sum,n_buys,n_sales_tot,n_costzero,costzero_share
2,2010,0.0,0.0,4100000.0,7.0,1.0,1.0,1.0
2,2011,0.0,0.0,6200000.0,6.0,3.0,1.0,0.3333333333333333
3,2009,0.0,0.0,11000000.0,2.0,1.0,1.0,1.0
3,2010,0.0,0.0,4350000.0,7.0,0.0,0.0,0.0
3,2011,0.0,0.0,5280000.0,4.0,1.0,1.0,1.0
3,2014,-2900000.0,1.0,8000000.0,5.0,1.0,1.0,1.0
3,2015,8750000.0,5.0,14780000.0,6.0,7.0,6.0,0.8571428571428571
3,2016,5200000.0,4.0,7850000.0,3.0,4.0,1.0,0.25
3,2017,-400000.0,2.0,40000000.0,6.0,2.0,0.0,0.0
3,2019,-6950000.0,3.0,20250000.0,4.0,3.0,1.0,0.3333333333333333
3,2020,-2000000.0,1.0,16800000.0,3.0,1.0,0.0,0.0
3,2021,-1500000.0,3.0,0.0,0.0,3.0,0.0,0.0
4,2009,0.0,0.0,0.0,0.0,2.0,2.0,1.0
4,2010,2050000.0,2.0,650000.0,2.0,3.0,3.0,1.0
4,2011,-34500000.0,1.0,3850000.0,6.0,1.0,1.0,1.0
4,2012,0.0,0.0,2500000.0,3.0,1.0,0.0,0.0
4,2013,5450000.0,2.0,7320000.0,5.0,3.0,0.0,0.0
4,2018,0.0,0.0,3500000.0,2.0,0.0,0.0,0.0
5,2009,-190000.0,1.0,22100000.0,5.0,3.0,2.0,0.6666666666666666
5,2010,-3819000.0,6.0,42300000.0,8.0,9.0,5.0,0.5555555555555556
5,2011,-17900000.0,3.0,63650000.0,9.0,4.0,2.0,0.5
5,2012,63500000.0,5.0,58970000.0,9.0,6.0,2.0,0.3333333333333333
5,2013,14050000.0,3.0,41730000.0,8.0,4.0,1.0,0.25
5,2014,3200000.0,2.0,14900000.0,6.0,3.0,0.0,0.0
5,2015,-9750000.0,4.0,102270000.0,8.0,4.0,1.0,0.25
5,2016,8400000.0,4.0,26560000.0,3.0,5.0,1.0,0.2
5,2017,-8270000.0,8.0,180980000.0,8.0,8.0,2.0,0.25
5,2018,58675000.0,7.0,178570000.0,7.0,7.0,0.0,0.0
5,2019,-1300000.0,4.0,111400000.0,6.0,4.0,0.0,0.0
5,2020,-53050000.0,5.0,22620000.0,6.0,5.0,0.0,0.0
5,2021,0.0,1.0,64000000.0,6.0,1.0,0.0,0.0
10,2020,-400000.0,1.0,0.0,0.0,1.0,1.0,1.0
10,2021,-1450000.0,1.0,8000000.0,8.0,1.0,0.0,0.0
11,2009,0.0,0.0,12000000.0,1.0,2.0,2.0,1.0
11,2010,0.0,1.0,23000000.0,3.0,2.0,2.0,1.0
11,2011,37300000.0,3.0,65480000.0,9.0,6.0,5.0,0.8333333333333334
11,2012,27850000.0,3.0,56000000.0,4.0,4.0,4.0,1.0
11,2013,7600000.0,3.0,47500000.0,2.0,5.0,1.0,0.2
11,2014,17600000.0,4.0,118980000.0,7.0,5.0,1.0,0.2
11,2015,2100000.0,1.0,26500000.0,2.0,1.0,0.0,0.0
11,2016,-62850000.0,2.0,113040000.0,6.0,2.0,0.0,0.0
11,2017,91500000.0,8.0,152850000.0,4.0,8.0,3.0,0.375
11,2018,400000.0,3.0,77650000.0,4.0,3.0,0.0,0.0
11,2019,9950000.0,7.0,152400000.0,5.0,7.0,0.0,0.0
11,2020,-17600000.0,1.0,84000000.0,4.0,1.0,0.0,0.0
11,2021,7400000.0,1.0,165600000.0,6.0,1.0,0.0,0.0
12,2009,900000.0,1.0,3500000.0,1.0,3.0,3.0,1.0
12,2010,6051000.0,4.0,10700000.0,3.0,6.0,4.0,0.6666666666666666
12,2011,7650000.0,1.0,86250000.0,10.0,3.0,3.0,1.0
12,2012,52535000.0,10.0,30020000.0,13.0,11.0,4.0,0.36363636363636365
12,2013,-45685000.0,14.0,70790000.0,14.0,15.0,2.0,0.13333333333333333
12,2014,28200000.0,4.0,87250000.0,10.0,4.0,1.0,0.25
12,2015,75275000.0,11.0,34249000.0,9.0,12.0,1.0,0.08333333333333333
12,2016,-6468000.0,10.0,94900000.0,12.0,10.0,3.0,0.3
12,2017,-47500000.0,12.0,85650000.0,10.0,12.0,2.0,0.16666666666666666
12,2018,64146000.0,12.0,159100000.0,11.0,12.0,4.0,0.3333333333333333
12,2019,19455000.0,11.0,105300000.0,6.0,11.0,2.0,0.18181818181818182
12,2020,5000000.0,4.0,66000000.0,4.0,4.0,0.0,0.0
12,2021,5700000.0,1.0,124250000.0,7.0,2.0,1.0,0.5
13,2009,2075000.0,2.0,16250000.0,4.0,6.0,6.0,1.0
13,2010,7800000.0,1.0,34050000.0,6.0,4.0,3.0,0.75
13,2011,16125000.0,3.0,82500000.0,6.0,7.0,4.0,0.5714285714285714
13,2012,6200000.0,1.0,4500000.0,2.0,3.0,1.0,0.3333333333333333
13,2013,44800000.0,3.0,34595000.0,7.0,5.0,0.0,0.0
13,2014,62100000.0,5.0,143350000.0,11.0,5.0,0.0,0.0
13,2015,45800000.0,5.0,119000000.0,9.0,7.0,1.0,0.14285714285714285
13,2016,29000000.0,4.0,78800000.0,5.0,4.0,0.0,0.0
13,2017,-27800000.0,8.0,95600000.0,2.0,9.0,0.0,0.0
13,2018,-12000000.0,3.0,149500000.0,8.0,3.0,0.0,0.0
13,2019,114000000.0,6.0,245300000.0,7.0,6.0,0.0,0.0
13,2020,2300000.0,3.0,87500000.0,5.0,3.0,0.0,0.0
13,2021,-4750000.0,2.0,61000000.0,2.0,2.0,0.0,0.0
15,2009,0.0,0.0,6550000.0,3.0,1.0,1.0,1.0
15,2010,0.0,0.0,5700000.0,4.0,3.0,3.0,1.0
15,2011,6880000.0,4.0,19260000.0,4.0,6.0,4.0,0.6666666666666666
15,2012,6680000.0,6.0,20800000.0,5.0,7.0,2.0,0.2857142857142857
15,2013,-14430000.0,4.0,22900000.0,6.0,5.0,1.0,0.2
15,2014,-12600000.0,2.0,35805000.0,5.0,4.0,1.0,0.25
15,2015,-56700000.0,7.0,58000000.0,6.0,8.0,1.0,0.125
15,2016,12350000.0,4.0,63300000.0,7.0,4.0,0.0,0.0
15,2017,37400000.0,7.0,56000000.0,4.0,7.0,0.0,0.0
15,2018,18000000.0,2.0,30500000.0,2.0,2.0,0.0,0.0
15,2019,7500000.0,2.0,96000000.0,6.0,2.0,0.0,0.0
15,2020,-9000000.0,2.0,43200000.0,5.0,2.0,0.0,0.0
15,2021,-17500000.0,4.0,52850000.0,6.0,4.0,0.0,0.0
16,2009,1400000.0,1.0,10900000.0,4.0,3.0,3.0,1.0
16,2010,-200000.0,1.0,5250000.0,2.0,3.0,3.0,1.0
16,2011,0.0,0.0,9725000.0,3.0,4.0,3.0,0.75
16,2012,20450000.0,5.0,25650000.0,4.0,6.0,0.0,0.0
16,2013,21275000.0,7.0,52600000.0,4.0,8.0,1.0,0.125
16,2014,1200000.0,1.0,65200000.0,6.0,2.0,0.0,0.0
16,2015,-31600000.0,7.0,20000000.0,4.0,8.0,0.0,0.0
16,2016,42550000.0,5.0,141100000.0,9.0,5.0,1.0,0.2
16,2017,144025000.0,7.0,108340000.0,8.0,8.0,0.0,0.0
16,2018,14100000.0,5.0,88500000.0,5.0,6.0,0.0,0.0
16,2019,7300000.0,8.0,147500000.0,6.0,8.0,0.0,0.0
16,2020,1900000.0,2.0,48000000.0,2.0,2.0,0.0,0.0
16,2021,-9250000.0,5.0,45000000.0,2.0,5.0,0.0,0.0
18,2009,5499999.999999999,2.0,10500000.0,4.0,3.0,3.0,1.0
18,2010,0.0,0.0,6300000.0,3.0,2.0,2.0,1.0
18,2011,1800000.0,2.0,2000000.0,3.0,3.0,2.0,0.6666666666666666
18,2012,7900000.0,3.0,33400000.0,5.0,5.0,2.0,0.4
18,2013,550000.0,2.0,7700000.0,3.0,2.0,0.0,0.0
18,2014,-45500000.0,3.0,11250000.0,2.0,3.0,0.0,0.0
18,2015,6500000.0,2.0,37000000.0,6.0,2.0,0.0,0.0
18,2016,22800000.0,2.0,41250000.0,5.0,2.0,0.0,0.0
18,2017,-15000000.0,6.0,37250000.0,5.0,6.0,0.0,0.0
18,2018,1750000.0,4.0,32550000.0,4.0,4.0,0.0,0.0
18,2019,-500000.0,2.0,40500000.0,4.0,2.0,0.0,0.0
18,2020,0.0,0.0,10800000.0,2.0,0.0,0.0,0.0
18,2021,0.0,0.0,11500000.0,2.0,0.0,0.0,0.0
19,2010,6700000.0,1.0,8250000.0,5.0,1.0,1.0,1.0
19,2019,-300000.0,1.0,18650000.0,8.0,1.0,1.0,1.0
23,2013,0.0,0.0,1650000.0,4.0,0.0,0.0,0.0
24,2009,0.0,0.0,1250000.0,2.0,1.0,1.0,1.0
24,2010,-2850000.0,2.0,2450000.0,3.0,5.0,2.0,0.4
24,2012,950000.0,2.0,7250000.0,7.0,4.0,2.0,0.5
24,2013,0.0,0.0,6175000.0,5.0,0.0,0.0,0.0
24,2014,-5600000.0,5.0,5700000.0,3.0,8.0,0.0,0.0
24,2015,2000000.0,2.0,11820000.0,7.0,3.0,0.0,0.0
24,2016,-5600000.0,4.0,3300000.0,4.0,6.0,0.0,0.0
24,2017,3900000.0,1.0,23550000.0,8.0,1.0,0.0,0.0
24,2018,5300000.0,3.0,27350000.0,9.0,3.0,0.0,0.0
24,2019,63900000.0,5.0,78340000.0,10.0,5.0,0.0,0.0
24,2020,-25500000.0,4.0,9000000.0,4.0,4.0,0.0,0.0
24,2021,-18000000.0,3.0,7850000.0,4.0,3.0,0.0,0.0
27,2009,2600000.0,3.0,75700000.0,5.0,5.0,4.0,0.8
27,2010,1800000.0,1.0,17000000.0,1.0,2.0,2.0,1.0
27,2011,4850000.0,1.0,51800000.0,4.0,1.0,0.0,0.0
27,2012,0.0,0.0,70300000.0,5.0,0.0,0.0,0.0
27,2013,-8600000.0,3.0,62000000.0,2.0,4.0,0.0,0.0
27,2014,-5400000.0,3.0,53400000.0,6.0,4.0,1.0,0.25
27,2015,10100000.0,4.0,81250000.0,4.0,6.0,1.0,0.16666666666666666
27,2016,-8200000.0,4.0,70000000.0,2.0,4.0,0.0,0.0
27,2017,13750000.0,2.0,103500000.0,5.0,2.0,0.0,0.0
27,2018,53500000.0,4.0,10000000.0,1.0,5.0,0.0,0.0
27,2019,7500000.0,3.0,126000000.0,4.0,3.0,0.0,0.0
27,2020,-3000000.0,1.0,77000000.0,3.0,1.0,0.0,0.0
27,2021,0.0,0.0,57500000.0,2.0,0.0,0.0,0.0
29,2009,0.0,0.0,23300000.0,3.0,2.0,1.0,0.5
29,2010,-800000.0,2.0,1700000.0,2.0,3.0,3.0,1.0
29,2011,0.0,0.0,7200000.0,2.0,5.0,3.0,0.6
29,2012,14400000.0,1.0,21650000.0,5.0,3.0,3.0,1.0
29,2013,27600000.0,1.0,28300000.0,4.0,3.0,2.0,0.6666666666666666
29,2014,-3100000.0,1.0,40160000.0,2.0,1.0,0.0,0.0
29,2015,0.0,0.0,48900000.0,7.0,1.0,0.0,0.0
29,2016,29600000.0,3.0,86000000.0,7.0,3.0,0.0,0.0
29,2017,-7045000.0,6.0,203200000.0,9.0,7.0,0.0,0.0
29,2018,7100000.0,3.0,89650000.0,3.0,3.0,0.0,0.0
29,2019,21800000.0,5.0,118500000.0,6.0,5.0,0.0,0.0
29,2020,-5570000.0,2.0,74870000.0,4.0,2.0,0.0,0.0
29,2021,-23000000.0,2.0,2000000.0,1.0,2.0,0.0,0.0
31,2009,0.0,0.0,43500000.0,3.0,5.0,5.0,1.0
31,2010,6950000.0,2.0,97730000.0,8.0,7.0,7.0,1.0
31,2011,-200000.0,2.0,65325000.0,6.0,6.0,3.0,0.5
